sepal_length,sepal_width,petal_length,petal_width,species,feature_sum
5.1,3.5,1.4,0.2,setosa,10.2
4.9,3.0,1.4,0.2,setosa,9.5
4.7,3.2,1.3,0.2,setosa,9.4
4.6,3.1,1.5,0.2,setosa,9.399999999999999
5.0,3.6,1.4,0.2,setosa,10.2
5.4,3.9,1.7,0.4,setosa,11.4
4.6,3.4,1.4,0.3,setosa,9.700000000000001
5.0,3.4,1.5,0.2,setosa,10.1
4.4,2.9,1.4,0.2,setosa,8.9
4.9,3.1,1.5,0.1,setosa,9.6
5.4,3.7,1.5,0.2,setosa,10.8
4.8,3.4,1.6,0.2,setosa,9.999999999999998
4.8,3.0,1.4,0.1,setosa,9.299999999999999
4.3,3.0,1.1,0.1,setosa,8.5
5.8,4.0,1.2,0.2,setosa,11.2
5.7,4.4,1.5,0.4,setosa,12.000000000000002
5.4,3.9,1.3,0.4,setosa,11.000000000000002
5.1,3.5,1.4,0.3,setosa,10.3
5.7,3.8,1.7,0.3,setosa,11.5
5.1,3.8,1.5,0.3,setosa,10.7
5.4,3.4,1.7,0.2,setosa,10.7
5.1,3.7,1.5,0.4,setosa,10.700000000000001
4.6,3.6,1.0,0.2,setosa,9.399999999999999
5.1,3.3,1.7,0.5,setosa,10.599999999999998
4.8,3.4,1.9,0.2,setosa,10.299999999999999
5.0,3.0,1.6,0.2,setosa,9.799999999999999
5.0,3.4,1.6,0.4,setosa,10.4
5.2,3.5,1.5,0.2,setosa,10.399999999999999
5.2,3.4,1.4,0.2,setosa,10.2
4.7,3.2,1.6,0.2,setosa,9.7
4.8,3.1,1.6,0.2,setosa,9.7
5.4,3.4,1.5,0.4,setosa,10.700000000000001
5.2,4.1,1.5,0.1,setosa,10.9
5.5,4.2,1.4,0.2,setosa,11.299999999999999
4.9,3.1,1.5,0.2,setosa,9.7
5.0,3.2,1.2,0.2,setosa,9.599999999999998
5.5,3.5,1.3,0.2,setosa,10.5
4.9,3.6,1.4,0.1,setosa,10.0
4.4,3.0,1.3,0.2,setosa,8.9
5.1,3.4,1.5,0.2,setosa,10.2
5.0,3.5,1.3,0.3,setosa,10.100000000000001
4.5,2.3,1.3,0.3,setosa,8.4
4.4,3.2,1.3,0.2,setosa,9.1
5.0,3.5,1.6,0.6,setosa,10.7
5.1,3.8,1.9,0.4,setosa,11.2
4.8,3.0,1.4,0.3,setosa,9.5
5.1,3.8,1.6,0.2,setosa,10.699999999999998
4.6,3.2,1.4,0.2,setosa,9.399999999999999
5.3,3.7,1.5,0.2,setosa,10.7
5.0,3.3,1.4,0.2,setosa,9.9
7.0,3.2,4.7,1.4,versicolor,16.299999999999997
6.4,3.2,4.5,1.5,versicolor,15.600000000000001
6.9,3.1,4.9,1.5,versicolor,16.4
5.5,2.3,4.0,1.3,versicolor,13.100000000000001
